8,4,4,4,3,4,0,0,0,0,4,3,8,6,6,3,4,4,0,0,0,0,2,3,6,6,6,5,5,6,4,2,0,0,1,3
8,4,4,4,3,4,0,0,0,1,4,3,7,6,6,3,3,5,0,1,0,0,3,3,6,6,6,5,5,6,3,0,0,0,2,3
8,4,4,4,2,4,1,0,0,1,5,3,8,6,6,4,3,5,1,1,0,0,4,3,7,6,6,6,5,6,1,0,0,0,2,4
8,4,4,4,1,2,0,0,0,2,5,3,8,6,6,5,3,5,1,2,0,0,4,3,7,6,6,6,5,6,1,1,0,0,2,3
8,4,4,4,1,1,0,0,0,1,5,3,8,7,5,5,3,5,2,3,1,0,4,4,6,6,6,7,5,7,2,1,0,0,3,4
8,5,4,4,1,0,0,0,0,2,5,3,8,7,5,5,4,5,2,3,1,0,5,4,7,5,6,7,6,6,2,2,0,1,3,4
8,5,4,4,1,0,0,0,0,2,5,4,8,6,5,4,4,4,1,1,0,1,4,4,6,5,6,6,6,7,2,2,1,1,4,4
9,5,4,4,2,0,0,0,0,2,6,4,8,6,4,4,4,2,0,0,0,1,4,5,6,5,6,7,6,6,3,2,1,1,4,4
8,5,5,4,2,0,0,0,0,3,6,4,8,6,4,4,4,1,0,0,0,1,4,4,6,5,6,6,5,6,3,3,1,1,4,4
8,4,6,4,2,0,0,0,0,3,6,4,7,5,4,3,3,0,0,0,0,1,4,3,6,5,6,6,5,5,2,2,0,1,3,4
8,4,5,4,2,0,0,0,0,2,6,4,8,5,4,4,3,0,0,0,0,1,4,3,6,5,6,5,5,4,1,1,0,1,4,4
9,4,5,4,2,0,0,0,0,3,6,4,8,5,4,3,3,0,0,0,0,1,4,3,6,5,6,6,5,3,0,0,0,2,4,4
9,3,6,4,2,1,0,0,1,3,6,4,9,5,4,4,3,1,0,1,0,1,4,3,6,5,7,6,5,2,0,0,0,3,4,5
9,4,6,4,1,0,0,0,1,3,6,4,9,5,4,4,2,1,0,1,0,2,5,4,7,5,7,6,5,3,0,0,0,3,4,5
9,4,5,4,0,0,0,0,1,3,6,4,9,5,4,4,2,2,0,1,0,2,5,4,7,5,7,6,5,3,1,0,0,4,4,5
9,4,5,3,0,0,0,0,1,3,6,4,9,5,4,4,2,2,0,1,0,2,4,4,7,5,7,6,6,3,1,1,0,3,4,5
9,4,5,3,0,0,0,0,1,3,6,4,8,5,4,4,0,1,0,0,1,1,4,4,7,5,7,6,5,3,1,2,0,3,4,5
8,4,4,3,0,0,0,0,1,3,6,3,8,5,4,3,0,0,0,0,1,1,4,3,7,4,7,6,5,3,1,2,0,4,4,5
8,4,3,3,0,0,0,0,1,2,6,3,8,4,4,3,0,0,0,0,1,1,4,3,7,4,6,5,5,3,1,2,0,4,4,6
8,3,3,3,0,0,0,0,2,2,6,2,8,4,4,2,0,0,0,0,1,1,4,3,6,4,6,5,3,1,0,1,0,3,4,5
8,3,3,3,0,0,0,0,2,2,6,2,7,4,4,2,0,0,0,0,1,1,4,3,5,4,5,4,1,0,0,0,0,3,4,5
8,4,3,3,0,0,0,0,2,2,6,2,7,4,4,2,0,0,0,0,1,1,4,2,5,4,5,4,0,0,0,0,0,3,3,4
8,3,3,3,0,1,0,0,2,2,4,0,6,1,2,0,0,0,0,0,0,0,2,0,4,2,4,3,0,0,0,0,0,1,2,3
6,1,2,1,0,0,0,0,1,2,3,0,4,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,1,1,3,1,0,4,0,1,0,0,0,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,2,2,3,2,0,4,0,2,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,2,2,3,2,0,5,0,2,0,0,0,0,0,0,0,1,0,3,1,4,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,2,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
